season_1,position_group,Q1,Median,Q3,Min,Max
2004,C,208.28,210.82,213.36,203.2,228.6
2004,F,200.66,205.74,208.28,195.58,215.9
2004,G,187.96,193.04,198.12,165.1,203.2
2005,C,208.28,210.82,213.36,203.2,228.6
2005,F,200.66,205.74,208.28,195.58,213.36
2005,G,187.96,190.5,198.12,165.1,205.74
2006,C,208.28,210.82,213.36,203.2,228.6
2006,F,200.66,205.74,208.28,195.58,213.36
2006,G,187.96,190.5,198.12,165.1,205.74
2007,C,208.28,210.82,213.36,200.66,228.6
2007,F,200.66,203.2,205.74,195.58,213.36
2007,G,187.96,190.5,198.12,165.1,205.74
2008,C,208.28,210.82,213.36,200.66,228.6
2008,F,200.66,203.2,205.74,190.5,213.36
2008,G,187.96,190.5,198.12,175.26,205.74
2009,C,208.28,210.82,213.36,198.12,220.98
2009,F,200.66,203.2,205.74,190.5,213.36
2009,G,187.96,190.5,198.12,175.26,208.28
2010,C,208.28,210.82,213.36,198.12,220.98
2010,F,200.66,205.74,208.28,195.58,213.36
2010,G,187.96,190.5,198.12,165.1,205.74
2011,C,208.28,210.82,213.36,198.12,220.98
2011,F,203.2,205.74,208.28,195.58,213.36
2011,G,187.96,190.5,198.12,165.1,205.74
2012,C,208.28,210.82,213.36,198.12,220.98
2012,F,203.2,205.74,208.28,185.42,213.36
2012,G,187.96,193.04,195.58,175.26,205.74
2013,C,208.28,210.82,213.36,198.12,220.98
2013,F,203.2,205.74,205.74,195.58,213.36
2013,G,187.96,190.5,195.58,175.26,205.74
2014,C,210.82,210.82,213.36,198.12,218.44
2014,F,203.2,205.74,205.74,195.58,213.36
2014,G,187.96,193.04,195.58,175.26,203.2
2015,C,210.82,210.82,213.36,198.12,218.44
2015,F,203.2,205.74,208.28,198.12,215.9
2015,G,187.96,193.04,195.58,175.26,210.82
2016,C,210.82,210.82,213.36,205.74,220.98
2016,F,203.2,205.74,205.74,195.58,220.98
2016,G,187.96,193.04,195.58,175.26,210.82
2017,C,210.82,210.82,213.36,203.2,220.98
2017,F,203.2,205.74,205.74,195.58,220.98
2017,G,190.5,193.04,195.58,175.26,203.2
2018,C,210.82,210.82,213.36,203.2,220.98
2018,F,203.2,203.2,205.74,195.58,215.9
2018,G,190.5,193.04,198.12,175.26,208.28
2019,C,208.28,210.82,213.36,200.66,223.52
2019,F,200.66,203.2,205.74,193.04,218.44
2019,G,187.96,190.5,195.58,175.26,208.28
2020,C,208.28,210.82,213.36,200.66,226.06
2020,F,198.12,200.66,203.2,190.5,218.44
2020,G,187.96,190.5,195.58,175.26,210.82
2021,C,208.28,210.82,210.82,200.66,228.6
2021,F,198.12,200.66,203.2,193.04,218.44
2021,G,187.96,193.04,195.58,175.26,205.74
2022,C,205.74,210.82,213.36,200.66,223.52
2022,F,198.12,203.2,205.74,193.04,220.98
2022,G,187.96,193.04,195.58,177.8,203.2
