season_start,country_group,player_count
1996,International,9
1996,USA,432
1997,International,14
1997,USA,425
1998,International,22
1998,USA,417
1999,International,24
1999,USA,414
2000,International,40
2000,USA,401
2001,International,51
2001,USA,389
2002,International,62
2002,USA,366
2003,International,61
2003,USA,381
2004,International,74
2004,USA,390
2005,International,80
2005,USA,378
2006,International,71
2006,USA,387
2007,International,70
2007,USA,381
2008,International,70
2008,USA,375
2009,International,75
2009,USA,367
2010,International,83
2010,USA,369
2011,International,83
2011,USA,395
2012,International,85
2012,USA,384
2013,International,92
2013,USA,390
2014,International,101
2014,USA,391
2015,International,101
2015,USA,375
2016,International,115
2016,USA,371
2017,International,114
2017,USA,426
2018,International,118
2018,USA,412
2019,International,125
2019,USA,404
2020,International,124
2020,USA,416
2021,International,133
2021,USA,472
2022,International,126
2022,USA,413
