season_1,position_group,avg_height,avg_shot_dist
2004,C,212.0363940563047,6.733374078459818
2004,F,204.85633813061773,10.647477528965581
2004,G,192.79595152172044,14.04190119594531
2005,C,211.88649414756364,6.341984218989522
2005,F,204.85200419046674,11.254146815993616
2005,G,191.70394551789678,13.905441875197974
2006,C,211.83567130378523,6.404925590423842
2006,F,205.1127451133698,11.179997393797192
2006,G,191.70837215323968,13.914058730065307
2007,C,211.45285634689128,6.450263839271151
2007,F,203.92124412787715,11.59630281446173
2007,G,192.06444589765738,13.970455660135157
2008,C,210.87229882642495,7.215835759522154
2008,F,204.32467405273056,11.92268982589998
2008,G,192.77531224337207,14.198941007758618
2009,C,210.91168170631664,6.645674260112311
2009,F,204.4551556532809,11.981355038640089
2009,G,191.87385971455575,14.109266994877899
2010,C,211.05125546207526,6.912443748777145
2010,F,204.7682994518483,11.49769367389462
2010,G,192.2053200763716,13.865749246490628
2011,C,210.98381330176906,6.879362743529904
2011,F,204.8658569359511,11.987890247827421
2011,G,192.27003230206014,14.149091953197866
2012,C,211.031057769394,6.774439990568281
2012,F,205.02432910786888,11.530925615881335
2012,G,191.9503308469147,14.120223036198873
2013,C,210.90700090392562,6.819892820247901
2013,F,204.71177752398955,11.875241208207
2013,G,191.45848298193505,14.268125821687713
2014,C,211.6051703019233,6.908384370187313
2014,F,204.91183321530187,11.939480909960643
2014,G,191.97268810651167,14.33500539121465
2015,C,211.70279665516327,6.668038226705596
2015,F,205.46207590528255,12.179457900972011
2015,G,192.38953216121647,14.30012095554889
2016,C,211.93925561662329,6.949249509851194
2016,F,204.69763837435102,12.612882345650068
2016,G,192.31144845458712,14.216994515375983
2017,C,211.4801322125659,7.610799259153716
2017,F,204.74520888454705,13.156198694726001
2017,G,192.26509165997476,14.69946082367794
2018,C,211.32228987799368,7.961675327609603
2018,F,204.58038200880443,13.495539851714575
2018,G,193.04201197942646,14.95765967143381
2019,C,210.3280281089078,7.535662465503969
2019,F,202.9530429743224,13.319290893961066
2019,G,191.88916091679727,14.751190612062906
2020,C,210.46679619237054,8.853235774667912
2020,F,201.7642857965839,13.643359161217928
2020,G,191.73915174802076,14.680094467762274
2021,C,209.78449498654928,8.223421723788604
2021,F,202.00474805928016,14.058292166549023
2021,G,191.69938266199645,15.24209604571855
2022,C,209.3363600496357,8.59397371854022
2022,F,202.29152648060648,13.51872047027805
2022,G,192.0108394060369,15.620376824451348
