season_1,position_group,avg_shot_distance
2004,All,11.61669347950268
2004,C,6.757565680079829
2004,F,10.730850439149966
2004,G,14.03420722603767
2005,All,11.761857772183786
2005,C,6.5128862455565075
2005,F,11.349465530231678
2005,G,13.99572401539832
2006,All,11.802892431012207
2006,C,6.316528204544613
2006,F,11.266442861903416
2006,G,13.934716082965156
2007,All,11.836813470715487
2007,C,6.472892895417018
2007,F,11.577003265017138
2007,G,13.961573302615774
2008,All,12.160359813827554
2008,C,7.229717172890335
2008,F,11.87382185396171
2008,G,14.30664460000452
2009,All,12.023896358936346
2009,C,6.6563808949826635
2009,F,12.02972661906124
2009,G,14.098663926002033
2010,All,11.853761039992005
2010,C,7.137398474033977
2010,F,11.525289960353527
2010,G,13.90320890933519
2011,All,12.144211141002069
2011,C,6.931499378919715
2011,F,12.012092580293565
2011,G,14.229843177119623
2012,All,12.060614499211024
2012,C,6.690011579534235
2012,F,11.68852904335756
2012,G,14.141873220856798
2013,All,12.16354215732449
2013,C,6.849111265352937
2013,F,12.00242044912775
2013,G,14.345622226064991
2014,All,12.30735597967114
2014,C,6.968071220589714
2014,F,11.983653789615964
2014,G,14.401419487730585
2015,All,12.364539517513341
2015,C,6.759480326191461
2015,F,12.26765449293308
2015,G,14.32891661797851
2016,All,12.466506797637532
2016,C,6.943126287901086
2016,F,12.73865467491107
2016,G,14.229625140864512
2017,All,12.853237882944656
2017,C,7.631970058581018
2017,F,13.047798388847024
2017,G,14.72423510042111
2018,All,13.157586923658247
2018,C,7.947226837566097
2018,F,13.481973923179087
2018,G,14.894189896080292
2019,All,13.053905119319841
2019,C,7.486220937869469
2019,F,13.426796281803108
2019,G,14.762625188418301
2020,All,13.413137971579133
2020,C,8.770032617102139
2020,F,13.730482168724562
2020,G,14.755397445617136
2021,All,13.625860593106701
2021,C,8.390948547195274
2021,F,13.904618667298905
2021,G,15.126575454712055
2022,All,13.806922398792477
2022,C,8.649794153363136
2022,F,13.570810623756502
2022,G,15.701597325044373
2023,All,13.458996463817488
2023,C,8.103533302390547
2023,F,13.631658471624748
2023,G,15.1081654090415
2024,All,13.529361339298429
2024,C,8.25873984327584
2024,F,13.689288401468781
2024,G,15.28478866479549
