season_1,position_group,Q1,Median,Q3,Min,Max
2004,C,111.13004,115.66596,120.20188,95.25432,147.4174
2004,F,99.79024,104.32616,111.13004,88.45044,129.27372
2004,G,85.275296,90.7184,97.068688,60.327736,108.86208
2005,C,111.13004,115.66596,120.20188,99.79024,147.4174
2005,F,99.79024,104.32616,111.13004,90.7184,120.20188
2005,G,83.91452,90.7184,95.25432,60.327736,104.32616
2006,C,108.86208,115.66596,120.20188,100.697424,147.4174
2006,F,102.0582,106.59412,111.13004,86.18248,121.562656
2006,G,83.91452,90.7184,97.52228,60.327736,106.59412
2007,C,111.13004,115.66596,119.294696,99.79024,147.4174
2007,F,99.79024,104.32616,111.13004,88.45044,124.7378
2007,G,83.91452,90.7184,96.615096,60.327736,108.408488
2008,C,111.13004,115.66596,119.294696,103.418976,147.4174
2008,F,99.79024,104.32616,108.86208,85.275296,122.46984
2008,G,83.91452,92.98636,97.52228,73.028312,108.86208
2009,C,111.13004,115.66596,120.20188,102.0582,147.4174
2009,F,99.79024,104.32616,108.86208,83.91452,127.00576
2009,G,83.91452,90.7184,95.707912,73.028312,108.86208
2010,C,111.13004,115.66596,120.20188,102.0582,147.4174
2010,F,102.0582,106.59412,111.13004,86,131.088088
2010,G,83.91452,90.7184,95.25432,60.327736,108.86208
2011,C,113.398,115.66596,120.20188,95.25432,131.54168
2011,F,100.697424,105.233344,111.13004,85.275296,124.7378
2011,G,83.91452,90.7184,96.161504,60.327736,108.86208
2012,C,113.398,115.66596,120.20188,95.25432,133.80964
2012,F,102.0582,106.59412,111.13004,85.275296,131.088088
2012,G,83.91452,90.7184,95.25432,74.84268,108.86208
2013,C,111.13004,115.212368,120.20188,91.171992,131.54168
2013,F,99.79024,106.59412,109.769264,83.91452,131.088088
2013,G,83.91452,90.7184,94.800728,73.028312,108.86208
2014,C,111.13004,115.66596,121.109064,95.25432,133.80964
2014,F,102.0582,106.59412,111.13004,84.368112,131.088088
2014,G,85.728888,90.7184,95.25432,73.028312,108.86208
2015,C,111.13004,115.66596,122.46984,99.79024,139.252744
2015,F,102.0582,106.59412,111.13004,84.368112,122.46984
2015,G,86.18248,90.7184,95.25432,73.028312,108.86208
2016,C,110.676448,115.66596,120.20188,99.79024,131.54168
2016,F,100.243832,106.59412,111.13004,84.368112,120.20188
2016,G,84.368112,90.7184,95.25432,73.028312,106.140528
2017,C,111.13004,115.66596,120.20188,99.79024,131.54168
2017,F,99.79024,104.32616,108.86208,84.368112,120.20188
2017,G,85.728888,90.7184,95.25432,72.57472,104.32616
2018,C,108.86208,113.398,120.20188,95.25432,131.54168
2018,F,99.79024,102.0582,108.86208,84.368112,120.20188
2018,G,86.18248,90.7184,95.25432,72.57472,105.233344
2019,C,108.86208,113.398,120.20188,97.975872,131.54168
2019,F,99.79024,102.511792,106.59412,82.10015200000001,117.93392
2019,G,86.18248,90.7184,95.25432,77.11064,108.86208
2020,C,108.86208,113.398,120.20188,90.7184,141.067112
2020,F,97.068688,102.0582,106.59412,81.64656,128.820128
2020,G,86.18248,90.7184,95.25432,75.749864,113.398
2021,C,108.86208,113.398,120.20188,90.7184,141.067112
2021,F,97.52228,100.697424,104.32616,81.64656,116.573144
2021,G,84.821704,89.811216,94.347136,72.57472,113.398
2022,C,108.86208,113.398,117.93392,95.25432,131.54168
2022,F,95.25432,99.79024,104.32616,81.64656,122.46984
2022,G,84.821704,89.811216,93.439952,74.389088,106.140528
